Date,Time,Object ID,Logical ID,Category,Event,Behavior,Confidence,Centroid X,Centroid Y,Snapshot
2026-09-11,01:55:06,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2418,370,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0331.jpg
2026-09-11,01:55:07,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2270,370,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0332.jpg
2026-09-11,01:55:08,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2443,371,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0333.jpg
2026-09-11,01:55:08,92,6,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,475,222,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0029.jpg
2026-09-11,01:55:08,93,1,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT | RAPID MOVEMENT,1.0000,216,242,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0030.jpg
2026-09-11,01:55:08,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2160,371,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0334.jpg
2026-09-11,01:55:09,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2078,372,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0335.jpg
2026-09-11,01:55:10,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2079,371,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0336.jpg
2026-09-11,01:55:10,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2203,371,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0337.jpg
2026-09-11,01:55:11,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2167,370,277,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0338.jpg
2026-09-11,01:55:12,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2020,370,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0339.jpg
2026-09-11,01:55:12,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2152,369,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0340.jpg
2026-09-11,01:55:13,67,4,person,SUSPICIOUS_ACTIVITY,ERRATIC MOVEMENT,1.0000,165,231,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\suspicious_0031.jpg
2026-09-11,01:55:13,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.2104,369,279,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0341.jpg
2026-09-11,01:55:14,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9309,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0342.jpg
2026-09-11,01:55:14,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1847,369,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0343.jpg
2026-09-11,01:55:15,3,3,bus,INTRUSION,CROSSED_RESTRICTED_ZONE,0.9257,308,223,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0344.jpg
2026-09-11,01:55:16,92,6,person,INTRUSION,CROSSED_RESTRICTED_ZONE,0.1621,368,278,C:\Users\sharm\CCTV-YOLO\IBVAP\backend\logs\snapshots\intrusion_0345.jpg
